Datum,Rennort,Renntitel,Distanz,Kategorie,Stute,Preisgeld
13.10.24,Köln,WETTSTAR.de - Preis des Winterfavoriten,1.600 m,Gruppe 3,-,155.00€
13.10.24,Köln,Weidenpescher Meile,1.600 m,Listen,-,25.00€
20.10.24,Baden-Baden,Preis der Winterkönigin,1.600 m,Gruppe 3,Stute,155.00€
20.10.24,Baden-Baden,Herbst-Trophy,2.400 m,Gruppe 3,-,55.00€
27.10.24,Hannover,Herbst Stutenpreis,2.200 m,Gruppe 3,Stute,55.00€
27.10.24,Hannover,Youngster Fillies Cup,1.400 m,Listen,Stute,25.00€
27.10.24,Hannover,Youngster Steher Cup,2.000 m,Listen,-,25.00€
02.11.24,Köln,Silbernes Pferd,3.000 m,Gruppe 3,-,55.00€
10.11.24,München,Grosser Allianz Preis von Bayern,2.400 m,Gruppe 1,-,155.00€
16.11.24,Krefeld,Herzog von Ratibor-Rennen,1.700 m,Gruppe 3,-,55.00€
